,Country/Region,date,confirmed,deaths,recovered
142,Saint Kitts and Nevis,2020-01-22,0,0,0
143,Saint Lucia,2020-01-22,0,0,0
144,Saint Vincent and the Grenadines,2020-01-22,0,0,0
145,San Marino,2020-01-22,0,0,0
146,Sao Tome and Principe,2020-01-22,0,0,0
147,Saudi Arabia,2020-01-22,0,0,0
148,Senegal,2020-01-22,0,0,0
149,Serbia,2020-01-22,0,0,0
150,Seychelles,2020-01-22,0,0,0
151,Sierra Leone,2020-01-22,0,0,0
152,Singapore,2020-01-22,0,0,0
153,Slovakia,2020-01-22,0,0,0
154,Slovenia,2020-01-22,0,0,0
155,Somalia,2020-01-22,0,0,0
156,South Africa,2020-01-22,0,0,0
157,South Sudan,2020-01-22,0,0,0
158,Spain,2020-01-22,0,0,0
159,Sri Lanka,2020-01-22,0,0,0
160,Sudan,2020-01-22,0,0,0
161,Suriname,2020-01-22,0,0,0
162,Sweden,2020-01-22,0,0,0
163,Switzerland,2020-01-22,0,0,0
164,Syria,2020-01-22,0,0,0
165,Taiwan*,2020-01-22,1,0,0
166,Tajikistan,2020-01-22,0,0,0
167,Tanzania,2020-01-22,0,0,0
168,Thailand,2020-01-22,2,0,0
169,Timor-Leste,2020-01-22,0,0,0
170,Togo,2020-01-22,0,0,0
171,Trinidad and Tobago,2020-01-22,0,0,0
172,Tunisia,2020-01-22,0,0,0
173,Turkey,2020-01-22,0,0,0
174,US,2020-01-22,1,0,0
175,Uganda,2020-01-22,0,0,0
176,Ukraine,2020-01-22,0,0,0
177,United Arab Emirates,2020-01-22,0,0,0
178,United Kingdom,2020-01-22,0,0,0
179,Uruguay,2020-01-22,0,0,0
180,Uzbekistan,2020-01-22,0,0,0
181,Venezuela,2020-01-22,0,0,0
182,Vietnam,2020-01-22,0,0,0
183,West Bank and Gaza,2020-01-22,0,0,0
184,Western Sahara,2020-01-22,0,0,0
185,Yemen,2020-01-22,0,0,0
186,Zambia,2020-01-22,0,0,0
187,Zimbabwe,2020-01-22,0,0,0
188,Afghanistan,2020-01-23,0,0,0
189,Albania,2020-01-23,0,0,0
190,Algeria,2020-01-23,0,0,0
191,Andorra,2020-01-23,0,0,0
192,Angola,2020-01-23,0,0,0
193,Antigua and Barbuda,2020-01-23,0,0,0
194,Argentina,2020-01-23,0,0,0
195,Armenia,2020-01-23,0,0,0
196,Australia,2020-01-23,0,0,0
197,Austria,2020-01-23,0,0,0
198,Azerbaijan,2020-01-23,0,0,0
199,Bahamas,2020-01-23,0,0,0
200,Bahrain,2020-01-23,0,0,0
201,Bangladesh,2020-01-23,0,0,0
202,Barbados,2020-01-23,0,0,0
203,Belarus,2020-01-23,0,0,0
204,Belgium,2020-01-23,0,0,0
205,Belize,2020-01-23,0,0,0
206,Benin,2020-01-23,0,0,0
207,Bhutan,2020-01-23,0,0,0
208,Bolivia,2020-01-23,0,0,0
209,Bosnia and Herzegovina,2020-01-23,0,0,0
210,Botswana,2020-01-23,0,0,0
211,Brazil,2020-01-23,0,0,0
212,Brunei,2020-01-23,0,0,0
213,Bulgaria,2020-01-23,0,0,0
214,Burkina Faso,2020-01-23,0,0,0
215,Burma,2020-01-23,0,0,0
216,Burundi,2020-01-23,0,0,0
217,Cabo Verde,2020-01-23,0,0,0
218,Cambodia,2020-01-23,0,0,0
219,Cameroon,2020-01-23,0,0,0
220,Canada,2020-01-23,0,0,0
221,Central African Republic,2020-01-23,0,0,0
222,Chad,2020-01-23,0,0,0
223,Chile,2020-01-23,0,0,0
224,China,2020-01-23,643,18,30
225,Colombia,2020-01-23,0,0,0
226,Comoros,2020-01-23,0,0,0
227,Congo (Brazzaville),2020-01-23,0,0,0
228,Congo (Kinshasa),2020-01-23,0,0,0
229,Costa Rica,2020-01-23,0,0,0
230,Cote d'Ivoire,2020-01-23,0,0,0
231,Croatia,2020-01-23,0,0,0
232,Cuba,2020-01-23,0,0,0
233,Cyprus,2020-01-23,0,0,0
234,Czechia,2020-01-23,0,0,0
235,Denmark,2020-01-23,0,0,0
236,Diamond Princess,2020-01-23,0,0,0
237,Djibouti,2020-01-23,0,0,0
238,Dominica,2020-01-23,0,0,0
239,Dominican Republic,2020-01-23,0,0,0
240,Ecuador,2020-01-23,0,0,0
241,Egypt,2020-01-23,0,0,0
242,El Salvador,2020-01-23,0,0,0
243,Equatorial Guinea,2020-01-23,0,0,0
244,Eritrea,2020-01-23,0,0,0
245,Estonia,2020-01-23,0,0,0
246,Eswatini,2020-01-23,0,0,0
247,Ethiopia,2020-01-23,0,0,0
248,Fiji,2020-01-23,0,0,0
249,Finland,2020-01-23,0,0,0
250,France,2020-01-23,0,0,0
251,Gabon,2020-01-23,0,0,0
252,Gambia,2020-01-23,0,0,0
253,Georgia,2020-01-23,0,0,0
254,Germany,2020-01-23,0,0,0
255,Ghana,2020-01-23,0,0,0
256,Greece,2020-01-23,0,0,0
257,Grenada,2020-01-23,0,0,0
258,Guatemala,2020-01-23,0,0,0
259,Guinea,2020-01-23,0,0,0
260,Guinea-Bissau,2020-01-23,0,0,0
261,Guyana,2020-01-23,0,0,0
262,Haiti,2020-01-23,0,0,0
263,Holy See,2020-01-23,0,0,0
264,Honduras,2020-01-23,0,0,0
265,Hungary,2020-01-23,0,0,0
266,Iceland,2020-01-23,0,0,0
267,India,2020-01-23,0,0,0
268,Indonesia,2020-01-23,0,0,0
269,Iran,2020-01-23,0,0,0
270,Iraq,2020-01-23,0,0,0
271,Ireland,2020-01-23,0,0,0
272,Israel,2020-01-23,0,0,0
273,Italy,2020-01-23,0,0,0
274,Jamaica,2020-01-23,0,0,0
275,Japan,2020-01-23,2,0,0
276,Jordan,2020-01-23,0,0,0
277,Kazakhstan,2020-01-23,0,0,0
278,Kenya,2020-01-23,0,0,0
279,"Korea, South",2020-01-23,1,0,0
280,Kosovo,2020-01-23,0,0,0
281,Kuwait,2020-01-23,0,0,0
282,Kyrgyzstan,2020-01-23,0,0,0
283,Laos,2020-01-23,0,0,0
284,Latvia,2020-01-23,0,0,0
285,Lebanon,2020-01-23,0,0,0
286,Lesotho,2020-01-23,0,0,0
287,Liberia,2020-01-23,0,0,0
288,Libya,2020-01-23,0,0,0
289,Liechtenstein,2020-01-23,0,0,0
290,Lithuania,2020-01-23,0,0,0
291,Luxembourg,2020-01-23,0,0,0
292,MS Zaandam,2020-01-23,0,0,0
293,Madagascar,2020-01-23,0,0,0
294,Malawi,2020-01-23,0,0,0
295,Malaysia,2020-01-23,0,0,0
296,Maldives,2020-01-23,0,0,0
297,Mali,2020-01-23,0,0,0
298,Malta,2020-01-23,0,0,0
299,Mauritania,2020-01-23,0,0,0
300,Mauritius,2020-01-23,0,0,0
301,Mexico,2020-01-23,0,0,0
302,Moldova,2020-01-23,0,0,0
303,Monaco,2020-01-23,0,0,0
304,Mongolia,2020-01-23,0,0,0
305,Montenegro,2020-01-23,0,0,0
306,Morocco,2020-01-23,0,0,0
307,Mozambique,2020-01-23,0,0,0
308,Namibia,2020-01-23,0,0,0
309,Nepal,2020-01-23,0,0,0
310,Netherlands,2020-01-23,0,0,0
311,New Zealand,2020-01-23,0,0,0
312,Nicaragua,2020-01-23,0,0,0
313,Niger,2020-01-23,0,0,0
314,Nigeria,2020-01-23,0,0,0
315,North Macedonia,2020-01-23,0,0,0
316,Norway,2020-01-23,0,0,0
317,Oman,2020-01-23,0,0,0
318,Pakistan,2020-01-23,0,0,0
319,Panama,2020-01-23,0,0,0
320,Papua New Guinea,2020-01-23,0,0,0
321,Paraguay,2020-01-23,0,0,0
322,Peru,2020-01-23,0,0,0
323,Philippines,2020-01-23,0,0,0
324,Poland,2020-01-23,0,0,0
325,Portugal,2020-01-23,0,0,0
326,Qatar,2020-01-23,0,0,0
327,Romania,2020-01-23,0,0,0
328,Russia,2020-01-23,0,0,0
329,Rwanda,2020-01-23,0,0,0
330,Saint Kitts and Nevis,2020-01-23,0,0,0
331,Saint Lucia,2020-01-23,0,0,0
332,Saint Vincent and the Grenadines,2020-01-23,0,0,0
333,San Marino,2020-01-23,0,0,0
334,Sao Tome and Principe,2020-01-23,0,0,0
335,Saudi Arabia,2020-01-23,0,0,0
336,Senegal,2020-01-23,0,0,0
337,Serbia,2020-01-23,0,0,0
338,Seychelles,2020-01-23,0,0,0
339,Sierra Leone,2020-01-23,0,0,0
340,Singapore,2020-01-23,1,0,0
341,Slovakia,2020-01-23,0,0,0
342,Slovenia,2020-01-23,0,0,0
343,Somalia,2020-01-23,0,0,0
344,South Africa,2020-01-23,0,0,0
345,South Sudan,2020-01-23,0,0,0
346,Spain,2020-01-23,0,0,0
347,Sri Lanka,2020-01-23,0,0,0
348,Sudan,2020-01-23,0,0,0
349,Suriname,2020-01-23,0,0,0
350,Sweden,2020-01-23,0,0,0
351,Switzerland,2020-01-23,0,0,0
352,Syria,2020-01-23,0,0,0
353,Taiwan*,2020-01-23,1,0,0
354,Tajikistan,2020-01-23,0,0,0
355,Tanzania,2020-01-23,0,0,0
356,Thailand,2020-01-23,3,0,0
357,Timor-Leste,2020-01-23,0,0,0
358,Togo,2020-01-23,0,0,0
359,Trinidad and Tobago,2020-01-23,0,0,0
360,Tunisia,2020-01-23,0,0,0
361,Turkey,2020-01-23,0,0,0
362,US,2020-01-23,1,0,0
363,Uganda,2020-01-23,0,0,0
364,Ukraine,2020-01-23,0,0,0
365,United Arab Emirates,2020-01-23,0,0,0
366,United Kingdom,2020-01-23,0,0,0
367,Uruguay,2020-01-23,0,0,0
368,Uzbekistan,2020-01-23,0,0,0
369,Venezuela,2020-01-23,0,0,0
370,Vietnam,2020-01-23,2,0,0
371,West Bank and Gaza,2020-01-23,0,0,0
372,Western Sahara,2020-01-23,0,0,0
373,Yemen,2020-01-23,0,0,0
374,Zambia,2020-01-23,0,0,0
375,Zimbabwe,2020-01-23,0,0,0
376,Afghanistan,2020-01-24,0,0,0
377,Albania,2020-01-24,0,0,0
378,Algeria,2020-01-24,0,0,0
379,Andorra,2020-01-24,0,0,0
380,Angola,2020-01-24,0,0,0
381,Antigua and Barbuda,2020-01-24,0,0,0
382,Argentina,2020-01-24,0,0,0
383,Armenia,2020-01-24,0,0,0
384,Australia,2020-01-24,0,0,0
385,Austria,2020-01-24,0,0,0
386,Azerbaijan,2020-01-24,0,0,0
387,Bahamas,2020-01-24,0,0,0
388,Bahrain,2020-01-24,0,0,0
389,Bangladesh,2020-01-24,0,0,0
390,Barbados,2020-01-24,0,0,0
391,Belarus,2020-01-24,0,0,0
392,Belgium,2020-01-24,0,0,0
393,Belize,2020-01-24,0,0,0
394,Benin,2020-01-24,0,0,0
395,Bhutan,2020-01-24,0,0,0
396,Bolivia,2020-01-24,0,0,0
397,Bosnia and Herzegovina,2020-01-24,0,0,0
398,Botswana,2020-01-24,0,0,0
399,Brazil,2020-01-24,0,0,0
400,Brunei,2020-01-24,0,0,0
401,Bulgaria,2020-01-24,0,0,0
402,Burkina Faso,2020-01-24,0,0,0
403,Burma,2020-01-24,0,0,0
404,Burundi,2020-01-24,0,0,0
405,Cabo Verde,2020-01-24,0,0,0
406,Cambodia,2020-01-24,0,0,0
407,Cameroon,2020-01-24,0,0,0
408,Canada,2020-01-24,0,0,0
409,Central African Republic,2020-01-24,0,0,0
410,Chad,2020-01-24,0,0,0
411,Chile,2020-01-24,0,0,0
412,China,2020-01-24,920,26,36
413,Colombia,2020-01-24,0,0,0
414,Comoros,2020-01-24,0,0,0
415,Congo (Brazzaville),2020-01-24,0,0,0
416,Congo (Kinshasa),2020-01-24,0,0,0
417,Costa Rica,2020-01-24,0,0,0
418,Cote d'Ivoire,2020-01-24,0,0,0
419,Croatia,2020-01-24,0,0,0
420,Cuba,2020-01-24,0,0,0
421,Cyprus,2020-01-24,0,0,0
422,Czechia,2020-01-24,0,0,0
423,Denmark,2020-01-24,0,0,0
424,Diamond Princess,2020-01-24,0,0,0
425,Djibouti,2020-01-24,0,0,0
426,Dominica,2020-01-24,0,0,0
427,Dominican Republic,2020-01-24,0,0,0
428,Ecuador,2020-01-24,0,0,0
429,Egypt,2020-01-24,0,0,0
430,El Salvador,2020-01-24,0,0,0
431,Equatorial Guinea,2020-01-24,0,0,0
432,Eritrea,2020-01-24,0,0,0
433,Estonia,2020-01-24,0,0,0
434,Eswatini,2020-01-24,0,0,0
435,Ethiopia,2020-01-24,0,0,0
436,Fiji,2020-01-24,0,0,0
437,Finland,2020-01-24,0,0,0
438,France,2020-01-24,2,0,0
439,Gabon,2020-01-24,0,0,0
440,Gambia,2020-01-24,0,0,0
441,Georgia,2020-01-24,0,0,0
442,Germany,2020-01-24,0,0,0
443,Ghana,2020-01-24,0,0,0
444,Greece,2020-01-24,0,0,0
445,Grenada,2020-01-24,0,0,0
446,Guatemala,2020-01-24,0,0,0
447,Guinea,2020-01-24,0,0,0
448,Guinea-Bissau,2020-01-24,0,0,0
449,Guyana,2020-01-24,0,0,0
450,Haiti,2020-01-24,0,0,0
451,Holy See,2020-01-24,0,0,0
452,Honduras,2020-01-24,0,0,0
453,Hungary,2020-01-24,0,0,0
454,Iceland,2020-01-24,0,0,0
455,India,2020-01-24,0,0,0
456,Indonesia,2020-01-24,0,0,0
457,Iran,2020-01-24,0,0,0
458,Iraq,2020-01-24,0,0,0
459,Ireland,2020-01-24,0,0,0
460,Israel,2020-01-24,0,0,0
461,Italy,2020-01-24,0,0,0
462,Jamaica,2020-01-24,0,0,0
463,Japan,2020-01-24,2,0,0
464,Jordan,2020-01-24,0,0,0
465,Kazakhstan,2020-01-24,0,0,0
466,Kenya,2020-01-24,0,0,0
467,"Korea, South",2020-01-24,2,0,0
468,Kosovo,2020-01-24,0,0,0
469,Kuwait,2020-01-24,0,0,0
470,Kyrgyzstan,2020-01-24,0,0,0
471,Laos,2020-01-24,0,0,0
472,Latvia,2020-01-24,0,0,0
473,Lebanon,2020-01-24,0,0,0
474,Lesotho,2020-01-24,0,0,0
475,Liberia,2020-01-24,0,0,0
476,Libya,2020-01-24,0,0,0
477,Liechtenstein,2020-01-24,0,0,0
478,Lithuania,2020-01-24,0,0,0
479,Luxembourg,2020-01-24,0,0,0
480,MS Zaandam,2020-01-24,0,0,0
481,Madagascar,2020-01-24,0,0,0
482,Malawi,2020-01-24,0,0,0
483,Malaysia,2020-01-24,0,0,0
484,Maldives,2020-01-24,0,0,0
485,Mali,2020-01-24,0,0,0
486,Malta,2020-01-24,0,0,0
487,Mauritania,2020-01-24,0,0,0
488,Mauritius,2020-01-24,0,0,0
489,Mexico,2020-01-24,0,0,0
490,Moldova,2020-01-24,0,0,0
491,Monaco,2020-01-24,0,0,0
492,Mongolia,2020-01-24,0,0,0
493,Montenegro,2020-01-24,0,0,0
494,Morocco,2020-01-24,0,0,0
495,Mozambique,2020-01-24,0,0,0
496,Namibia,2020-01-24,0,0,0
497,Nepal,2020-01-24,0,0,0
498,Netherlands,2020-01-24,0,0,0
499,New Zealand,2020-01-24,0,0,0
500,Nicaragua,2020-01-24,0,0,0
501,Niger,2020-01-24,0,0,0
502,Nigeria,2020-01-24,0,0,0
503,North Macedonia,2020-01-24,0,0,0
504,Norway,2020-01-24,0,0,0
505,Oman,2020-01-24,0,0,0
506,Pakistan,2020-01-24,0,0,0
507,Panama,2020-01-24,0,0,0
508,Papua New Guinea,2020-01-24,0,0,0
509,Paraguay,2020-01-24,0,0,0
510,Peru,2020-01-24,0,0,0
511,Philippines,2020-01-24,0,0,0
512,Poland,2020-01-24,0,0,0
513,Portugal,2020-01-24,0,0,0
514,Qatar,2020-01-24,0,0,0
515,Romania,2020-01-24,0,0,0
516,Russia,2020-01-24,0,0,0
517,Rwanda,2020-01-24,0,0,0
518,Saint Kitts and Nevis,2020-01-24,0,0,0
519,Saint Lucia,2020-01-24,0,0,0
520,Saint Vincent and the Grenadines,2020-01-24,0,0,0
521,San Marino,2020-01-24,0,0,0
522,Sao Tome and Principe,2020-01-24,0,0,0
523,Saudi Arabia,2020-01-24,0,0,0
524,Senegal,2020-01-24,0,0,0
525,Serbia,2020-01-24,0,0,0
526,Seychelles,2020-01-24,0,0,0
527,Sierra Leone,2020-01-24,0,0,0
528,Singapore,2020-01-24,3,0,0
529,Slovakia,2020-01-24,0,0,0
530,Slovenia,2020-01-24,0,0,0
531,Somalia,2020-01-24,0,0,0
532,South Africa,2020-01-24,0,0,0
533,South Sudan,2020-01-24,0,0,0
534,Spain,2020-01-24,0,0,0
535,Sri Lanka,2020-01-24,0,0,0
536,Sudan,2020-01-24,0,0,0
537,Suriname,2020-01-24,0,0,0
538,Sweden,2020-01-24,0,0,0
539,Switzerland,2020-01-24,0,0,0
540,Syria,2020-01-24,0,0,0
541,Taiwan*,2020-01-24,3,0,0
542,Tajikistan,2020-01-24,0,0,0
543,Tanzania,2020-01-24,0,0,0
544,Thailand,2020-01-24,5,0,0
545,Timor-Leste,2020-01-24,0,0,0
546,Togo,2020-01-24,0,0,0
547,Trinidad and Tobago,2020-01-24,0,0,0
548,Tunisia,2020-01-24,0,0,0
549,Turkey,2020-01-24,0,0,0
550,US,2020-01-24,2,0,0
551,Uganda,2020-01-24,0,0,0
552,Ukraine,2020-01-24,0,0,0
553,United Arab Emirates,2020-01-24,0,0,0
554,United Kingdom,2020-01-24,0,0,0
555,Uruguay,2020-01-24,0,0,0
556,Uzbekistan,2020-01-24,0,0,0
557,Venezuela,2020-01-24,0,0,0
558,Vietnam,2020-01-24,2,0,0
559,West Bank and Gaza,2020-01-24,0,0,0
560,Western Sahara,2020-01-24,0,0,0
561,Yemen,2020-01-24,0,0,0
562,Zambia,2020-01-24,0,0,0
563,Zimbabwe,2020-01-24,0,0,0
564,Afghanistan,2020-01-25,0,0,0
565,Albania,2020-01-25,0,0,0
566,Algeria,2020-01-25,0,0,0
567,Andorra,2020-01-25,0,0,0
568,Angola,2020-01-25,0,0,0
569,Antigua and Barbuda,2020-01-25,0,0,0
570,Argentina,2020-01-25,0,0,0
571,Armenia,2020-01-25,0,0,0
572,Australia,2020-01-25,0,0,0
573,Austria,2020-01-25,0,0,0
574,Azerbaijan,2020-01-25,0,0,0
575,Bahamas,2020-01-25,0,0,0
576,Bahrain,2020-01-25,0,0,0
577,Bangladesh,2020-01-25,0,0,0
578,Barbados,2020-01-25,0,0,0
579,Belarus,2020-01-25,0,0,0
580,Belgium,2020-01-25,0,0,0
581,Belize,2020-01-25,0,0,0
582,Benin,2020-01-25,0,0,0
583,Bhutan,2020-01-25,0,0,0
584,Bolivia,2020-01-25,0,0,0
585,Bosnia and Herzegovina,2020-01-25,0,0,0
586,Botswana,2020-01-25,0,0,0
587,Brazil,2020-01-25,0,0,0
588,Brunei,2020-01-25,0,0,0
589,Bulgaria,2020-01-25,0,0,0
590,Burkina Faso,2020-01-25,0,0,0
591,Burma,2020-01-25,0,0,0
592,Burundi,2020-01-25,0,0,0
593,Cabo Verde,2020-01-25,0,0,0
594,Cambodia,2020-01-25,0,0,0
595,Cameroon,2020-01-25,0,0,0
596,Canada,2020-01-25,0,0,0
597,Central African Republic,2020-01-25,0,0,0
598,Chad,2020-01-25,0,0,0
599,Chile,2020-01-25,0,0,0
600,China,2020-01-25,1406,42,39
601,Colombia,2020-01-25,0,0,0
602,Comoros,2020-01-25,0,0,0
603,Congo (Brazzaville),2020-01-25,0,0,0
604,Congo (Kinshasa),2020-01-25,0,0,0
605,Costa Rica,2020-01-25,0,0,0
606,Cote d'Ivoire,2020-01-25,0,0,0
607,Croatia,2020-01-25,0,0,0
608,Cuba,2020-01-25,0,0,0
609,Cyprus,2020-01-25,0,0,0
610,Czechia,2020-01-25,0,0,0
611,Denmark,2020-01-25,0,0,0
612,Diamond Princess,2020-01-25,0,0,0
613,Djibouti,2020-01-25,0,0,0
614,Dominica,2020-01-25,0,0,0
615,Dominican Republic,2020-01-25,0,0,0
616,Ecuador,2020-01-25,0,0,0
617,Egypt,2020-01-25,0,0,0
618,El Salvador,2020-01-25,0,0,0
619,Equatorial Guinea,2020-01-25,0,0,0
620,Eritrea,2020-01-25,0,0,0
621,Estonia,2020-01-25,0,0,0
622,Eswatini,2020-01-25,0,0,0
623,Ethiopia,2020-01-25,0,0,0
624,Fiji,2020-01-25,0,0,0
625,Finland,2020-01-25,0,0,0
626,France,2020-01-25,3,0,0
627,Gabon,2020-01-25,0,0,0
628,Gambia,2020-01-25,0,0,0
629,Georgia,2020-01-25,0,0,0
630,Germany,2020-01-25,0,0,0
631,Ghana,2020-01-25,0,0,0
632,Greece,2020-01-25,0,0,0
633,Grenada,2020-01-25,0,0,0
634,Guatemala,2020-01-25,0,0,0
635,Guinea,2020-01-25,0,0,0
636,Guinea-Bissau,2020-01-25,0,0,0
637,Guyana,2020-01-25,0,0,0
638,Haiti,2020-01-25,0,0,0
639,Holy See,2020-01-25,0,0,0
640,Honduras,2020-01-25,0,0,0
641,Hungary,2020-01-25,0,0,0
642,Iceland,2020-01-25,0,0,0
643,India,2020-01-25,0,0,0
644,Indonesia,2020-01-25,0,0,0
645,Iran,2020-01-25,0,0,0
646,Iraq,2020-01-25,0,0,0
647,Ireland,2020-01-25,0,0,0
648,Israel,2020-01-25,0,0,0
649,Italy,2020-01-25,0,0,0
650,Jamaica,2020-01-25,0,0,0
651,Japan,2020-01-25,2,0,0
652,Jordan,2020-01-25,0,0,0
653,Kazakhstan,2020-01-25,0,0,0
654,Kenya,2020-01-25,0,0,0
655,"Korea, South",2020-01-25,2,0,0
656,Kosovo,2020-01-25,0,0,0
657,Kuwait,2020-01-25,0,0,0
658,Kyrgyzstan,2020-01-25,0,0,0
659,Laos,2020-01-25,0,0,0
660,Latvia,2020-01-25,0,0,0
661,Lebanon,2020-01-25,0,0,0
662,Lesotho,2020-01-25,0,0,0
663,Liberia,2020-01-25,0,0,0
664,Libya,2020-01-25,0,0,0
665,Liechtenstein,2020-01-25,0,0,0
666,Lithuania,2020-01-25,0,0,0
667,Luxembourg,2020-01-25,0,0,0
668,MS Zaandam,2020-01-25,0,0,0
